CODGEO;LIBGEO;C15_ACTOCC15P_ILT1;C15_ACTOCC15P_ILTAUT;C15_ACTOCC15P
01001;L'Abergement-Clémenciat;75;295;370
01002;L'Abergement-de-Varey;10;94;104
01004;Ambérieu-en-Bugey;2374;3307;5681
01005;Ambérieux-en-Dombes;135;660;795
01006;Ambléon;0;55;55
01007;Ambronay;178;1051;1229
01008;Ambutrix;36;354;390
01009;Andert-et-Condon;12;118;130
01010;Anglefort;112;396;508
01011;Apremont;21;114;135
01012;Aranc;30;95;125
01013;Arandas;11;80;90
01014;Arbent;508;730;1239
01015;Arboys en Bugey;36;210;247
01016;Arbigny;15;170;185
01017;Argis;15;104;119
01019;Armix;10;0;10
01021;Ars-sur-Formans;139;488;627
01022;Artemare;124;345;469
01023;Asnières-sur-Saône;15;29;44
01024;Attignat;259;1264;1524
01025;Bâgé-la-Ville;255;1233;1488
01026;Bâgé-le-Châtel;56;256;313
01027;Balan;912;1115;2027
01028;Baneins;35;260;295
01029;Beaupont;30;233;262
01030;Beauregard;20;370;390
01031;Bellignat;428;982;1410
01032;Béligneux;520;989;1509
01033;Bellegarde-sur-Valserine;1963;2743;4707
01034;Belley;2047;1272;3320
01035;Belleydoux;25;125;150
01036;Belmont-Luthézieu;29;226;254
01037;Bénonces;29;79;108
01038;Bény;44;304;348
01039;Béon;21;182;203
01040;Béréziat;55;210;265
01041;Bettant;40;303;343
01042;Bey;39;133;172
01043;Beynost;374;1572;1946
01044;Billiat;45;233;278
01045;Birieux;25;107;131
01046;Biziat;62;373;435
01047;Blyes;110;425;535
01049;La Boisse;305;1085;1390
01050;Boissey;10;160;170
01051;Bolozon;0;35;35
01052;Bouligneux;33;104;137
01053;Bourg-en-Bresse;9545;5089;14635
01054;Bourg-Saint-Christophe;98;543;642
01056;Boyeux-Saint-Jérôme;26;131;157
01057;Boz;30;185;215
01058;Brégnier-Cordon;75;265;340
01059;Brénaz;19;52;71
01060;Brénod;53;179;232
01061;Brens;65;470;535
01062;Bressolles;77;369;446
01063;Brion;40;160;200
01064;Briord;150;330;480
01065;Buellas;106;751;858
01066;La Burbanche;0;15;15
01067;Ceignes;0;131;131
01068;Cerdon;90;260;350
01069;Certines;95;679;774
01071;Cessy;293;2148;2440
01072;Ceyzériat;292;1117;1409
01073;Ceyzérieu;89;364;453
01074;Chalamont;240;826;1066
01075;Chaleins;105;485;590
01076;Chaley;0;50;50
01077;Challes-la-Montagne;15;78;93
01078;Challex;105;505;610
01079;Champagne-en-Valromey;130;174;304
01080;Champdor-Corcelles;41;229;270
01081;Champfromier;149;258;408
01082;Chanay;45;223;267
01083;Chaneins;78;397;476
01084;Chanoz-Châtenay;60;310;370
01085;La Chapelle-du-Châtelard;20;153;173
01087;Charix;25;105;130
01088;Charnoz-sur-Ain;87;446;532
01089;Château-Gaillard;149;786;935
01090;Châtenay;35;134;169
01091;Châtillon-en-Michaille;465;1161;1627
01092;Châtillon-la-Palud;144;595;739
01093;Châtillon-sur-Chalaronne;788;1214;2003
01094;Chavannes-sur-Reyssouze;45;257;303
01095;Nivigne et Suran;65;233;298
01096;Chaveyriat;83;440;523
01097;Chavornay;10;99;109
01098;Chazey-Bons;99;322;421
01099;Chazey-sur-Ain;140;605;745
01100;Cheignieu-la-Balme;5;55;60
01101;Chevillard;15;70;85
01102;Chevroux;82;417;499
01103;Chevry;78;755;833
01104;Chézery-Forens;95;145;240
01105;Civrieux;100;697;797
01106;Cize;20;44;64
01107;Cleyzieu;5;55;60
01108;Coligny;101;384;486
01109;Collonges;156;934;1091
01110;Colomieu;25;40;65
01111;Conand;5;55;60
01112;Condamine;25;215;240
01113;Condeissiat;70;306;376
01114;Confort;72;174;246
01115;Confrançon;115;554;669
01116;Contrevoz;25;178;203
01117;Conzieu;10;65;74
01118;Corbonod;137;358;496
01121;Corlier;0;54;54
01122;Cormaranche-en-Bugey;60;288;348
01123;Cormoranche-sur-Saône;64;424;488
01124;Cormoz;35;230;265
01125;Corveissiat;70;166;236
01127;Courmangoux;48;171;219
01128;Courtes;25;110;135
01129;Crans;20;115;135
01130;Cras-sur-Reyssouze;94;578;672
01133;Cressin-Rochefort;25;135;160
01134;Crottet;110;657;766
01135;Crozet;155;903;1058
01136;Cruzilles-lès-Mépillat;50;335;385
01138;Culoz;520;660;1180
01139;Curciat-Dongalon;81;101;182
01140;Curtafond;50;301;351
01141;Cuzieu;19;146;166
01142;Dagneux;486;1730;2216
01143;Divonne-les-Bains;939;3239;4178
01144;Dommartin;35;375;410
01145;Dompierre-sur-Veyle;113;378;490
01146;Dompierre-sur-Chalaronne;25;190;215
01147;Domsure;49;153;202
01148;Dortan;170;620;790
01149;Douvres;60;425;485
01150;Drom;35;89;123
01151;Druillat;85;465;550
01152;Échallon;40;321;361
01153;Échenevex;121;891;1012
01154;Étrez;83;319;402
01155;Évosges;10;50;60
01156;Faramans;58;330;388
01157;Fareins;159;871;1030
01158;Farges;45;450;495
01159;Feillens;389;1129;1518
01160;Ferney-Voltaire;1212;3423;4635
01162;Flaxieu;0;26;26
01163;Foissiat;170;775;945
01165;Francheleins;75;680;755
01166;Frans;136;1014;1149
01167;Garnerans;52;290;343
01169;Genouilleux;24;256;280
01170;Béard-Géovreissiat;41;490;532
01171;Géovreisset;59;359;418
01173;Gex;1485;4587;6072
01174;Giron;30;55;85
01175;Gorrevod;81;298;379
01177;Grand-Corent;10;60;70
01179;Grièges;175;735;910
01180;Grilly;70;250;320
01181;Groissiat;107;500;607
01183;Guéreins;149;498;647
01184;Hautecourt-Romanèche;85;255;340
01185;Hauteville-Lompnes;1043;344;1387
01186;Hostiaz;16;28;45
01187;Haut Valromey;186;156;342
01188;Illiat;30;265;295
01189;Injoux-Génissiat;110;423;533
01190;Innimond;30;18;48
01191;Izenave;16;86;102
01192;Izernore;358;701;1058
01193;Izieu;10;83;93
01194;Jassans-Riottier;460;2175;2635
01195;Jasseron;133;644;776
01196;Jayat;69;413;481
01197;Journans;15;170;185
01198;Joyeux;25;114;140
01199;Jujurieux;190;751;941
01200;Labalme;20;70;90
01202;Lagnieu;782;2070;2852
01203;Laiz;104;461;565
01204;Le Poizat-Lalleyriat;45;266;310
01205;Lancrans;53;424;477
01206;Lantenay;0;140;140
01207;Lapeyrouse;42;131;173
01208;Lavours;0;30;30
01209;Léaz;25;300;326
01210;Lélex;75;39;114
01211;Lent;97;616;713
01212;Lescheroux;65;235;300
01213;Leyment;86;505;591
01214;Leyssard;10;70;80
01215;Lhôpital;4;15;19
01216;Lhuis;105;264;369
01218;Lochieu;21;21;43
01219;Lompnas;25;35;60
01221;Lompnieu;20;14;33
01224;Loyettes;170;1225;1395
01225;Lurcy;5;179;184
01227;Magnieu;15;190;205
01228;Maillat;103;203;306
01229;Malafretaz;123;449;573
01230;Mantenay-Montlin;16;112;128
01231;Manziat;184;710;894
01232;Marboz;230;725;956
01233;Marchamp;0;40;40
01234;Marignieu;30;60;91
01235;Marlieux;90;355;445
01236;Marsonnas;65;390;455
01237;Martignat;106;643;750
01238;Massieux;135;1000;1135
01239;Massignieu-de-Rives;41;252;293
01240;Matafelon-Granges;30;261;291
01241;Meillonnas;130;442;572
01242;Mérignat;19;31;50
01243;Messimy-sur-Saône;109;518;628
01244;Meximieux;830;2530;3360
01245;Bohas-Meyriat-Rignat;65;344;409
01246;Mézériat;140;760;900
01247;Mijoux;75;75;150
01248;Mionnay;140;1001;1141
01249;Miribel;1120;3170;4290
01250;Misérieux;94;834;927
01252;Mogneneins;50;248;298
01254;Montagnat;149;734;883
01255;Montagnieu;35;236;271
01257;Montanges;20;155;176
01258;Montceaux;76;501;577
01259;Montcet;15;290;305
01260;Le Montellier;45;105;150
01261;Monthieux;56;305;361
01262;Montluel;707;2476;3183
