"";"IRIS";"REG";"DEP";"UU2010";"COM";"LIBCOM";"TRIRIS";"GRD_QUART";"LIBIRIS";"TYP_IRIS";"MODIF_IRIS";"LAB_IRIS";"P16_POP";"P16_POP0002";"P16_POP0305";"P16_POP0610";"P16_POP1117";"P16_POP1824";"P16_POP2539";"P16_POP4054";"P16_POP5564";"P16_POP6579";"P16_POP80P";"P16_POP0014";"P16_POP1529";"P16_POP3044";"P16_POP4559";"P16_POP6074";"P16_POP75P";"P16_POP0019";"P16_POP2064";"P16_POP65P";"P16_POPH";"P16_H0014";"P16_H1529";"P16_H3044";"P16_H4559";"P16_H6074";"P16_H75P";"P16_H0019";"P16_H2064";"P16_H65P";"P16_POPF";"P16_F0014";"P16_F1529";"P16_F3044";"P16_F4559";"P16_F6074";"P16_F75P";"P16_F0019";"P16_F2064";"P16_F65P";"C16_POP15P";"C16_POP15P_CS1";"C16_POP15P_CS2";"C16_POP15P_CS3";"C16_POP15P_CS4";"C16_POP15P_CS5";"C16_POP15P_CS6";"C16_POP15P_CS7";"C16_POP15P_CS8";"C16_H15P";"C16_H15P_CS1";"C16_H15P_CS2";"C16_H15P_CS3";"C16_H15P_CS4";"C16_H15P_CS5";"C16_H15P_CS6";"C16_H15P_CS7";"C16_H15P_CS8";"C16_F15P";"C16_F15P_CS1";"C16_F15P_CS2";"C16_F15P_CS3";"C16_F15P_CS4";"C16_F15P_CS5";"C16_F15P_CS6";"C16_F15P_CS7";"C16_F15P_CS8";"P16_POP_FR";"P16_POP_ETR";"P16_POP_IMM";"P16_PMEN";"P16_PHORMEN"
"1";"593500101";32;"59";"59702";"59350";"Lille";"591601";"5935001";"lille centre 1";"A";0;"3";42;4;4;8;0;0;8;8;8;4;0;15;0;15;4;8;0;15;23;4;23;8;0;8;4;4;0;8;11;4;19;8;0;8;0;4;0;8;11;0;26;0;0;19;4;0;4;0;0;15;0;0;11;0;0;4;0;0;11;0;0;8;4;0;0;0;0;42;0;0;42;0
"2";"593500104";32;"59";"59702";"59350";"Lille";"591591";"5935001";"lille centre 4";"H";0;"1";2837;77;58;82;139;774;750;336;221;256;145;281;1194;534;323;312;193;546;1891;401;1392;128;567;282;147;178;89;253;946;193;1445;153;627;252;176;134;104;293;945;208;2556;0;68;615;303;236;84;382;868;1264;0;42;372;103;97;73;197;380;1292;0;26;243;199;140;11;185;488;2582;256;318;2837;0
"3";"593500105";32;"59";"59702";"59350";"Lille";"591591";"5935001";"lille centre 5";"H";0;"1";2433;19;11;33;73;1227;551;182;123;133;81;99;1613;275;175;175;97;424;1794;214;1116;65;690;140;87;93;40;218;799;98;1317;34;923;134;87;82;57;206;995;116;2333;0;84;360;357;185;36;191;1119;1056;0;41;206;147;67;27;100;468;1276;0;43;154;210;118;9;91;651;2352;80;114;2417;15
"4";"593500106";32;"59";"59702";"59350";"Lille";"591611";"5935001";"lille centre 6";"A";0;"1";1498;23;29;36;53;738;325;127;82;63;21;122;918;211;114;104;28;362;1052;84;707;78;403;101;52;60;13;180;478;49;790;44;515;111;62;44;14;182;574;35;1375;0;14;287;183;140;27;93;631;629;0;11;154;91;50;18;55;250;746;0;3;133;92;90;9;38;381;1256;242;274;1498;0
"5";"593500107";32;"59";"59702";"59350";"Lille";"591591";"5935001";"lille centre 7";"A";0;"3";104;4;0;0;0;42;35;5;0;8;11;4;61;15;5;0;19;6;80;19;44;0;24;12;1;0;8;1;36;8;60;4;37;4;4;0;11;5;44;11;101;0;1;24;12;4;8;19;33;44;0;1;15;4;4;0;8;12;56;0;0;9;8;0;8;11;21;93;11;11;104;0
"6";"593500108";32;"59";"59702";"59350";"Lille";"591591";"5935001";"lille centre 8";"A";0;"3";159;4;8;4;4;36;57;19;4;20;4;16;58;54;8;16;8;28;108;23;88;12;37;31;0;4;4;16;64;8;72;4;21;23;8;12;4;12;44;16;144;0;5;68;9;8;0;20;35;76;0;5;36;9;4;0;4;18;68;0;0;31;0;4;0;16;17;158;1;5;159;0
"7";"593500109";32;"59";"59702";"59350";"Lille";"591591";"5935001";"lille centre 9";"A";0;"3";121;4;0;0;0;41;45;6;4;12;9;4;75;11;10;8;13;9;91;21;62;0;40;9;4;4;5;0;53;9;59;4;35;2;6;4;8;9;38;12;117;0;8;28;15;12;4;17;34;62;0;8;10;4;12;4;9;16;55;0;0;18;11;0;0;8;18;121;0;8;121;0
"8";"593500110";32;"59";"59702";"59350";"Lille";"591591";"5935001";"lille centre 10";"A";0;"3";455;15;2;1;19;134;171;65;16;23;8;34;226;106;50;27;12;60;364;31;242;26;116;64;24;8;4;41;197;4;213;8;110;42;26;19;8;19;167;27;421;0;16;140;84;29;1;23;128;216;0;3;92;33;8;0;4;76;205;0;13;47;51;22;1;19;52;388;67;71;455;0
"9";"593500111";32;"59";"59702";"59350";"Lille";"591611";"5935001";"lille centre 11";"H";0;"1";2577;74;22;38;46;904;906;249;142;132;63;159;1407;525;217;197;73;381;2001;196;1320;101;696;307;113;93;10;198;1055;67;1257;58;711;217;104;105;63;183;946;129;2423;1;53;664;399;258;69;221;758;1230;1;37;377;215;132;46;78;343;1193;0;16;288;184;126;23;143;414;2348;229;293;2457;121
"10";"593500112";32;"59";"59702";"59350";"Lille";"591591";"5935001";"lille centre 12";"H";0;"1";2674;48;64;81;131;811;661;409;197;180;91;274;1135;527;380;199;157;512;1890;272;1232;150;450;277;196;93;67;235;876;121;1441;124;685;250;185;106;91;277;1014;150;2399;0;84;689;360;215;66;242;744;1082;0;61;406;99;89;51;110;266;1317;0;23;283;261;126;15;132;477;2496;177;230;2674;0
"11";"593500113";32;"59";"59702";"59350";"Lille";"591611";"5935001";"lille centre 13";"A";0;"3";1637;67;42;98;95;359;590;229;95;48;16;265;651;419;203;76;24;354;1220;63;872;144;365;214;105;40;4;198;653;21;765;121;285;205;97;36;20;156;567;43;1372;0;42;385;261;232;97;83;271;728;0;25;234;111;102;84;28;144;644;0;17;152;151;130;13;54;127;1520;117;162;1637;0
"12";"593500114";32;"59";"59702";"59350";"Lille";"591611";"5935001";"lille centre 14";"A";0;"3";8;0;0;0;0;8;0;0;0;0;0;0;8;0;0;0;0;0;8;0;8;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;8;0;0;8;0
"13";"593500115";32;"59";"59702";"59350";"Lille";"591611";"5935001";"lille centre 15";"H";0;"2";2965;102;94;190;292;804;644;423;222;152;42;568;1160;526;408;229;74;870;1901;194;1526;312;631;255;168;113;47;460;952;114;1439;256;528;271;239;116;28;410;949;80;2389;0;51;299;266;389;164;251;969;1187;0;29;197;119;101;129;127;484;1202;0;22;102;147;288;35;124;485;2415;551;578;2837;128
"14";"593500116";32;"59";"59702";"59350";"Lille";"591591";"5935001";"lille centre 16";"H";0;"1";2802;82;57;112;115;669;861;372;149;254;129;310;1126;594;311;257;205;488;1930;383;1182;126;472;300;145;81;58;180;880;122;1619;184;654;294;166;175;146;308;1050;261;2496;2;57;694;402;262;65;374;641;1062;2;47;372;176;67;47;124;227;1434;0;10;321;226;195;18;250;414;2608;194;256;2734;68
"15";"593500117";32;"59";"59702";"59350";"Lille";"591611";"5935001";"lille centre 17";"H";0;"2";1685;34;47;67;54;321;381;247;184;236;116;185;488;321;240;268;183;293;1041;352;743;80;227;167;114;105;52;117;518;109;942;106;261;155;126;163;131;176;523;243;1500;0;14;224;194;245;55;368;400;664;0;10;131;86;118;44;123;152;836;0;4;93;109;127;11;245;248;1561;125;238;1685;0
"16";"593500118";32;"59";"59702";"59350";"Lille";"591601";"5935001";"lille centre 18";"H";0;"1";3930;87;83;113;198;1145;1156;594;303;168;82;400;1810;771;545;279;125;759;2920;250;1905;218;792;422;288;141;44;352;1445;107;2025;182;1018;349;257;138;81;407;1475;143;3545;0;92;950;612;386;75;315;1115;1685;0;57;524;286;138;75;140;465;1860;0;35;427;326;247;0;175;650;3639;291;299;3850;80
"17";"593500119";32;"59";"59702";"59350";"Lille";"591601";"5935001";"lille centre 19";"H";0;"1";4278;72;50;106;183;1586;1201;517;227;254;81;313;2356;720;464;283;142;737;3206;335;1943;202;953;369;212;144;64;359;1434;150;2334;111;1403;351;252;139;78;377;1772;185;3964;4;113;1016;633;347;66;339;1448;1741;4;99;540;265;127;33;165;509;2223;0;14;476;368;220;33;173;939;4076;201;262;4272;6
"18";"593500201";32;"59";"59702";"59350";"Lille";"591631";"5935002";"vieux lille 1";"H";0;"1";3158;85;51;57;104;458;1568;528;146;129;33;252;1192;1102;378;163;70;366;2630;162;1757;121;607;700;225;75;29;191;1501;66;1401;132;585;402;153;89;41;176;1129;96;2901;0;44;1095;663;532;71;171;326;1647;0;39;657;335;330;56;70;160;1255;0;4;438;328;203;15;101;166;2994;164;196;3011;148
"19";"593500202";32;"59";"59702";"59350";"Lille";"591621";"5935002";"vieux lille 2";"H";0;"1";1875;31;50;79;125;361;693;262;106;98;69;223;700;495;235;115;107;369;1338;168;917;88;359;261;135;44;29;167;692;58;958;135;341;233;100;71;77;202;646;110;1652;1;50;469;256;227;63;164;423;836;1;36;292;105;107;44;66;185;816;0;14;177;151;120;19;98;239;1761;114;172;1788;87
"20";"593500203";32;"59";"59702";"59350";"Lille";"591621";"5935002";"vieux lille 3";"H";0;"1";2474;52;47;60;78;811;844;344;122;94;23;192;1329;510;279;119;44;377;1980;117;1175;110;609;246;131;61;17;192;934;49;1299;83;720;264;147;58;27;185;1046;68;2281;0;82;736;478;266;52;107;560;1065;0;51;377;225;87;45;53;227;1216;0;31;360;253;180;7;54;333;2292;182;221;2474;0
"21";"593500204";32;"59";"59702";"59350";"Lille";"591631";"5935002";"vieux lille 4";"H";0;"1";4133;108;98;129;173;1135;1281;581;301;228;98;405;1868;873;519;314;154;662;3144;327;1926;211;784;457;266;158;51;337;1455;134;2207;194;1084;417;253;156;103;325;1689;193;3725;2;126;1154;510;486;94;363;991;1709;2;98;625;215;168;74;163;364;2016;0;28;529;296;317;20;200;627;3918;215;305;4084;49
"22";"593500205";32;"59";"59702";"59350";"Lille";"591631";"5935002";"vieux lille 5";"H";0;"1";3264;83;52;118;140;799;1164;434;211;158;105;335;1395;794;357;249;133;557;2443;263;1655;164;669;472;178;124;47;273;1287;95;1609;171;726;322;179;125;86;284;1157;168;2924;0;98;944;595;271;83;300;632;1506;0;69;534;270;135;75;130;294;1418;0;29;410;326;136;8;170;339;3106;158;215;3063;200
"23";"593500206";32;"59";"59702";"59350";"Lille";"591631";"5935002";"vieux lille 6";"H";0;"1";2136;49;21;56;141;570;559;358;205;99;76;191;979;358;347;166;94;491;1470;175;1038;60;486;203;177;79;33;188;776;73;1098;131;493;156;170;88;61;303;693;102;1948;0;50;486;302;227;34;184;666;983;0;44;278;165;93;34;86;284;965;0;6;208;137;134;0;98;382;2058;78;127;1982;154
"24";"593500207";32;"59";"59702";"59350";"Lille";"591621";"5935002";"vieux lille 7";"H";0;"2";2220;51;97;98;90;261;623;344;196;267;194;293;576;478;319;305;250;387;1373;461;1024;150;277;248;145;136;68;206;651;167;1196;143;299;230;174;168;182;181;722;293;1929;0;41;345;285;276;133;458;390;856;0;25;205;106;98;93;131;198;1073;0;16;140;180;178;40;327;192;1935;285;375;1971;249
"25";"593500302";32;"59";"59702";"59350";"Lille";"591641";"5935003";"vauban-esquermes";"A";0;"3";134;0;0;0;8;20;24;39;20;16;8;4;43;4;51;20;12;12;98;24;67;0;24;4;27;12;0;4;55;8;67;4;20;0;24;8;12;8;43;16;130;0;16;31;20;8;0;28;27;67;0;8;20;12;4;0;8;16;63;0;8;12;8;4;0;20;12;126;8;16;134;0
"26";"593500303";32;"59";"59702";"59350";"Lille";"591641";"5935003";"Catinat";"H";0;"1";2876;62;56;97;131;1448;544;306;132;74;26;280;1819;363;257;106;50;805;1970;100;1334;153;823;183;116;42;17;369;933;32;1542;128;996;180;141;64;33;437;1037;68;2592;0;43;273;335;302;137;113;1390;1183;0;33;169;171;110;100;35;565;1409;0;10;104;163;192;36;78;825;2609;267;335;2863;13
"27";"593500304";32;"59";"59702";"59350";"Lille";"591641";"5935003";"Cordonnier";"H";0;"1";2212;39;51;30;98;987;336;204;212;166;89;174;1200;224;253;208;153;517;1440;255;1021;90;595;120;114;61;42;261;698;62;1191;84;606;104;140;147;112;256;742;193;2041;0;22;178;258;222;74;305;982;937;0;20;106;118;70;58;90;475;1104;0;2;72;140;151;16;215;507;2087;125;206;2205;7
