CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;PMIMP15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PAUT15
01001;L'Abergement-Clémenciat;308,0;801,0;527,1;;;21776,0;;;;;;;;;;;;;;;;;;;
01002;L'Abergement-de-Varey;100,0;245,5;162,5;;;23300,0;;;;;;;;;;;;;;;;;;;
01004;Ambérieu-en-Bugey;6218,0;13918,0;9545,8;53;12149,0;19420,0;27272,0;15123,0;6134,0;10408,0;13760,0;16566,0;22236,0;25364,0;29548,0;36482,0;5,9;7,7;0,3;69,2;62,3;3,2;3,7;26,2;4,6
01005;Ambérieux-en-Dombes;625,0;1673,5;1083,5;;;23254,0;;;;;;;;;;;;;;;;;;;
01007;Ambronay;1044,0;2635,5;1732,7;61;16794,0;21946,0;29266,0;12472,0;11562,0;15500,0;17730,0;19786,0;24756,0;27060,0;31776,0;37394,0;3,2;3,9;0,3;70,9;66,0;2,4;2,4;25,4;3,7
01008;Ambutrix;308,0;768,0;510,7;;;24324,0;;;;;;;;;;;;;;;;;;;
01009;Andert-et-Condon;137,0;327,5;223,4;;;23022,0;;;;;;;;;;;;;;;;;;;
01010;Anglefort;437,0;1050,0;698,5;;;22462,0;;;;;;;;;;;;;;;;;;;
01011;Apremont;142,0;368,5;241,1;;;22138,0;;;;;;;;;;;;;;;;;;;
01012;Aranc;145,0;333,5;226,2;;;21448,0;;;;;;;;;;;;;;;;;;;
01013;Arandas;65,0;143,5;99,8;;;18090,0;;;;;;;;;;;;;;;;;;;
01014;Arbent;1298,0;3453,5;2252,3;55;14420,0;19724,0;26858,0;12438,0;9684,0;13036,0;15442,0;17378,0;22528,0;25092,0;29280,0;36804,0;3,8;5,9;0,3;66,8;61,8;3,2;1,8;26,5;6,7
01015;Arboys en Bugey;277,0;655,0;445,2;;;21968,0;;;;;;;;;;;;;;;;;;;
01016;Arbigny;176,0;460,0;298,6;;;20336,0;;;;;;;;;;;;;;;;;;;
01017;Argis;192,0;456,0;306,2;;;18077,0;;;;;;;;;;;;;;;;;;;
01021;Ars-sur-Formans;495,0;1276,5;833,1;;;22956,0;;;;;;;;;;;;;;;;;;;
01022;Artemare;552,0;1185,0;833,6;;;19044,0;;;;;;;;;;;;;;;;;;;
